time,open,high,low,close,Volume
2024-04-22 23:40:00,5045.75,5046.25,5045.25,5045.5,281
2024-04-24 00:40:00,5119.25,5119.5,5117.5,5118.5,565
2024-04-25 01:40:00,5079.25,5079.5,5077.0,5077.5,499
2024-04-26 02:40:00,5123.75,5123.75,5121.75,5121.75,857
2024-04-29 03:40:00,5145.0,5145.0,5144.0,5144.5,224
2024-04-30 04:40:00,5141.75,5142.0,5141.0,5141.0,204
2024-05-01 05:40:00,5062.75,5062.75,5060.5,5061.0,489
2024-05-02 06:40:00,5070.75,5071.25,5069.0,5069.25,502
2024-05-03 07:40:00,5099.75,5101.0,5099.0,5100.25,492
2024-05-06 08:40:00,5164.0,5164.25,5163.25,5164.25,544
2024-05-07 09:40:00,5209.25,5209.5,5208.5,5209.5,645
2024-05-08 10:40:00,5212.5,5212.5,5211.5,5211.75,215
2024-05-09 11:40:00,5206.5,5207.25,5205.5,5206.75,1176
2024-05-10 12:40:00,5252.25,5253.75,5251.5,5253.5,1606
2024-05-13 13:40:00,5251.75,5252.25,5248.5,5250.25,13249
2024-05-14 14:40:00,5246.5,5247.25,5242.25,5247.25,19403
2024-05-15 15:40:00,5313.75,5316.25,5313.75,5314.75,5111
2024-05-16 16:40:00,5338.5,5339.0,5336.75,5338.75,3077
2024-05-17 17:40:00,5320.75,5321.5,5320.0,5321.0,2127
2024-05-20 18:40:00,5334.75,5336.75,5334.75,5336.0,4117
2024-05-21 19:40:00,5344.25,5344.5,5341.5,5342.0,5615
2024-05-22 20:40:00,5330.5,5332.5,5326.75,5331.75,1782
2024-05-23 22:40:00,5286.75,5287.0,5286.5,5286.75,61
2024-05-26 23:40:00,5316.5,5316.5,5315.5,5315.75,405
2024-05-28 04:40:00,5330.25,5330.25,5329.25,5329.5,118
2024-05-29 05:40:00,5303.25,5303.75,5302.75,5303.75,383
2024-05-30 06:40:00,5252.5,5253.0,5252.25,5252.5,360
2024-05-31 07:40:00,5240.5,5242.0,5239.5,5241.75,862
2024-06-03 08:40:00,5305.0,5305.5,5302.5,5303.0,907
2024-06-04 09:40:00,5269.25,5272.0,5269.0,5269.25,1869
2024-06-05 10:40:00,5316.0,5316.25,5313.5,5313.5,559
2024-06-06 11:40:00,5366.75,5367.25,5366.0,5366.0,461
2024-06-07 12:40:00,5342.75,5343.0,5331.25,5333.0,17335
2024-06-10 13:40:00,5343.75,5345.75,5341.5,5343.75,14901
2024-06-11 14:40:00,5353.5,5358.5,5352.75,5357.25,13455
2024-06-12 15:40:00,5443.5,5445.5,5442.0,5442.25,3745
2024-06-13 16:40:00,5418.0,5419.5,5416.25,5419.5,4287
2024-06-14 17:40:00,5432.75,5433.0,5428.25,5430.25,5490
2024-06-17 18:40:00,5489.25,5490.5,5487.0,5487.0,1884
2024-06-18 19:40:00,5488.75,5489.5,5486.75,5487.0,682
2024-06-20 01:40:00,5499.25,5499.25,5499.0,5499.25,126
2024-06-21 02:40:00,5478.5,5478.75,5478.5,5478.75,10
2024-06-24 03:40:00,5528.5,5528.5,5528.0,5528.25,119
2024-06-25 04:40:00,5523.75,5524.5,5523.75,5524.25,221
2024-06-26 05:40:00,5542.0,5543.25,5542.0,5542.75,679
2024-06-27 06:40:00,5532.5,5533.25,5532.0,5533.0,473
2024-06-28 07:40:00,5559.25,5561.25,5558.75,5560.75,572
2024-07-01 08:40:00,5527.0,5527.0,5523.75,5525.5,2972
2024-07-02 09:40:00,5509.75,5510.75,5509.25,5509.5,549
2024-07-03 10:40:00,5570.5,5571.5,5570.5,5571.0,346
2024-07-04 15:25:00,5588.75,5589.25,5588.25,5588.75,314
2024-07-05 20:25:00,5618.75,5619.25,5618.25,5619.0,344
2024-07-08 22:25:00,5630.5,5630.75,5630.0,5630.5,250
2024-07-09 23:25:00,5634.5,5634.5,5634.0,5634.0,150
2024-07-11 00:25:00,5682.75,5683.0,5681.0,5681.25,646
2024-07-12 01:25:00,5641.25,5641.75,5641.0,5641.25,252
2024-07-15 02:25:00,5673.75,5674.75,5673.75,5674.5,348
2024-07-16 03:25:00,5694.0,5694.5,5693.75,5694.0,155
2024-07-17 04:25:00,5709.0,5709.25,5708.5,5708.5,121
2024-07-18 05:25:00,5649.0,5649.0,5648.25,5648.5,327
2024-07-19 06:25:00,5606.5,5606.75,5605.75,5606.75,251
2024-07-22 07:25:00,5566.5,5567.75,5564.25,5565.75,1563
2024-07-23 08:25:00,5592.75,5595.25,5592.0,5593.0,766
2024-07-24 09:25:00,5557.0,5557.25,5554.0,5555.5,1130
2024-07-25 10:25:00,5463.25,5464.0,5455.75,5456.0,1350
2024-07-26 11:25:00,5481.5,5483.25,5479.5,5483.0,666
2024-07-29 12:25:00,5524.5,5526.25,5524.0,5525.75,1094
2024-07-30 13:25:00,5515.5,5517.5,5513.5,5516.5,3557
2024-07-31 14:25:00,5557.5,5558.25,5553.0,5556.75,11490
2024-08-01 15:25:00,5515.75,5521.0,5511.25,5513.0,15444
2024-08-02 16:25:00,5371.25,5378.5,5368.25,5373.0,11129
2024-08-05 17:25:00,5243.75,5251.75,5239.25,5240.25,9364
2024-08-06 18:25:00,5330.5,5333.5,5328.75,5333.0,5903
2024-08-07 19:25:00,5252.5,5254.25,5245.75,5252.5,8692
2024-08-08 20:25:00,5356.75,5361.0,5354.0,5354.25,2654
2024-08-11 22:25:00,5355.0,5358.5,5352.25,5357.5,1756
2024-08-12 23:25:00,5371.0,5373.25,5371.0,5373.25,282
2024-08-14 00:25:00,5454.0,5456.0,5453.75,5455.5,526
2024-08-15 01:25:00,5483.5,5483.75,5481.0,5482.25,615
2024-08-16 02:25:00,5575.5,5576.0,5574.5,5575.25,682
2024-08-19 03:25:00,5588.25,5589.5,5588.0,5589.0,325
2024-08-20 04:25:00,5632.5,5632.5,5632.0,5632.25,109
2024-08-21 05:25:00,5629.0,5630.0,5629.0,5630.0,180
2024-08-22 06:25:00,5640.25,5641.0,5640.25,5640.75,178
2024-08-23 07:25:00,5613.75,5615.5,5613.75,5614.25,387
2024-08-26 08:25:00,5660.5,5662.0,5659.5,5661.25,496
2024-08-27 09:25:00,5645.0,5645.0,5643.75,5643.75,292
2024-08-28 10:25:00,5647.25,5648.0,5647.25,5647.75,266
2024-08-29 11:25:00,5619.5,5620.5,5618.25,5619.0,1180
2024-08-30 12:25:00,5634.75,5637.75,5634.5,5635.25,1463
2024-09-02 13:25:00,5658.25,5658.25,5656.25,5657.0,791
2024-09-03 18:25:00,5553.25,5556.25,5551.75,5552.25,7170
2024-09-04 19:25:00,5525.5,5528.75,5521.25,5527.5,9415
2024-09-05 20:25:00,5510.5,5512.0,5509.0,5511.0,1463
2024-09-08 22:25:00,5411.25,5412.5,5409.5,5411.5,1017
2024-09-09 23:25:00,5488.75,5488.75,5487.75,5488.25,471
2024-09-11 00:25:00,5492.75,5492.75,5490.5,5492.25,894
2024-09-12 01:25:00,5558.75,5559.75,5557.75,5558.75,399
2024-09-13 02:25:00,5603.5,5603.5,5602.0,5602.75,269
2024-09-16 03:25:00,5632.0,5632.75,5631.75,5632.5,109
2024-09-17 04:25:00,5632.75,5633.5,5632.25,5633.25,64
2024-09-18 05:25:00,5643.0,5643.25,5641.75,5642.5,222
2024-09-19 06:25:00,5681.5,5684.25,5681.25,5682.25,459
2024-09-20 07:25:00,5709.0,5709.75,5708.5,5709.5,50
2024-09-23 08:25:00,5765.5,5768.0,5765.5,5767.0,868
2024-09-24 09:25:00,5787.0,5788.0,5786.0,5786.5,463
2024-09-25 10:25:00,5788.25,5788.75,5788.25,5788.25,223
2024-09-26 11:25:00,5824.25,5826.5,5824.25,5826.25,834
2024-09-27 12:25:00,5806.75,5808.5,5806.75,5807.0,836
2024-09-30 13:25:00,5778.75,5780.75,5778.75,5780.25,2464
2024-10-01 14:25:00,5755.0,5756.75,5741.25,5748.25,22914
2024-10-02 15:25:00,5764.75,5769.0,5763.0,5768.25,6686
2024-10-03 16:25:00,5762.0,5763.5,5758.5,5759.0,3209
2024-10-04 17:25:00,5783.0,5785.0,5780.0,5781.0,4520
2024-10-07 18:25:00,5764.5,5766.5,5763.5,5764.0,4018
2024-10-08 19:25:00,5797.25,5799.5,5796.75,5798.0,4853
2024-10-09 20:25:00,5832.5,5833.25,5832.25,5832.5,662
2024-10-10 22:25:00,5831.0,5832.25,5830.75,5831.25,296
2024-10-13 23:25:00,5855.75,5856.5,5855.5,5855.75,320
2024-10-15 00:25:00,5911.5,5911.75,5911.0,5911.75,136
2024-10-16 01:25:00,5864.75,5864.75,5863.75,5864.0,284
2024-10-17 02:25:00,5878.75,5879.0,5877.0,5877.5,201
2024-10-18 03:25:00,5886.75,5887.5,5886.75,5887.0,253
2024-10-21 04:25:00,5908.0,5908.0,5907.5,5908.0,94
2024-10-22 05:25:00,5883.75,5885.25,5883.75,5884.75,411
2024-10-23 06:25:00,5886.0,5886.75,5885.5,5886.5,175
2024-10-24 07:25:00,5857.75,5860.25,5857.25,5860.25,870
2024-10-25 08:25:00,5857.0,5857.25,5855.0,5856.0,607
2024-10-28 09:25:00,5878.25,5880.5,5878.0,5879.75,502
2024-10-29 10:25:00,5856.5,5859.25,5855.5,5859.25,947
2024-10-30 11:25:00,5878.0,5878.5,5875.25,5876.25,838
2024-10-31 12:25:00,5819.25,5820.0,5818.5,5819.75,1258
2024-11-01 13:25:00,5761.75,5763.25,5759.75,5760.75,4487
2024-11-04 15:25:00,5769.75,5771.5,5764.0,5767.25,15521
2024-11-05 16:25:00,5796.75,5796.75,5792.25,5793.5,7548
2024-11-06 17:25:00,5934.0,5937.0,5932.5,5935.75,4305
2024-11-07 18:25:00,5994.75,5996.5,5994.75,5994.75,2542
2024-11-08 19:25:00,6034.5,6036.75,6034.25,6036.5,3329
2024-11-11 20:25:00,6027.25,6027.5,6025.25,6027.0,2803
2024-11-12 21:25:00,6016.25,6016.5,6016.0,6016.0,364
2024-11-13 23:25:00,6018.75,6019.25,6018.5,6019.0,237
2024-11-15 00:25:00,5965.75,5966.0,5963.75,5965.0,671
2024-11-18 01:25:00,5913.25,5914.25,5913.25,5913.25,535
2024-11-19 02:25:00,5920.75,5921.5,5920.25,5921.0,526
2024-11-20 03:25:00,5946.25,5947.0,5945.75,5946.25,380
2024-11-21 04:25:00,5923.75,5924.0,5922.25,5922.5,322
